method,region,roi,sensitivity,specificity,PPV,NPV,subject
SCC,ROI 1,40,100,46.9023746701847,40.79086736495234,100,C23
SCC,ROI 1,40,100,46.5779268420501,33.84815055158988,100,C24
SCC,ROI 1,40,100,46.808510638297875,38.24140882964412,100,C25
SCC,ROI 1,40,100,46.95192815636556,42.087658592848904,100,C3
SCC,ROI 1,40,100,46.87269275392891,42.38819627130276,100,C4
SCC,ROI 1,40,100,46.75925925925926,39.09484833895041,100,C5
SCC,ROI 1,40,99.96712689020382,46.76349857909693,37.54784541301395,99.97749774977498,C6
SCC,ROI 1,40,100,46.74450404964763,38.135386119257085,100,C7
SCC,ROI 1,40,99.96759559300064,46.78319469306096,37.90391940041774,99.97749774977498,C8
SCC,ROI 1,40,100,46.700294241277845,37.7133734495886,100,C9
SPM,ROI 1,40,99.92940345923049,51.81913774973712,38.18966680156482,99.95943204868152,C1
SPM,ROI 1,40,94.7085201793722,62.27765498368593,37.07865168539326,98.04473902236953,C10
SPM,ROI 1,40,100,53.07192283497588,39.56251687820686,100,C11
SPM,ROI 1,40,0,97.35566793088915,0,95.58336781133636,C12
SPM,ROI 1,40,0,95.8289222951514,0,95.03412073490811,C13
SPM,ROI 1,40,0,97.12260657992172,0,95.16948274074842,C14
SPM,ROI 1,40,98.93695014662757,55.11968786249077,38.80661394680086,99.4482496194825,C15
SPM,ROI 1,40,85.52278820375335,61.4810139896918,25.840421223167276,96.43623164494308,C16
SPM,ROI 1,40,100,47.9521109010712,36.55101779541672,100,C18
SPM,ROI 1,40,97.34939759036143,58.75539644098136,38.2274089260369,98.83103081827844,C19
SPM,ROI 1,40,100,46.73467241560626,34.552267734849465,100,C2
SPM,ROI 1,40,86.16766467065868,70.45765386638611,33.882740758182244,96.66570438799076,C20
SPM,ROI 1,40,96.2993762993763,64.60455834471169,40.73162152655645,98.57371794871796,C21
SPM,ROI 1,40,0,97.83572635135135,0,95.39839407041384,C22
SPM,ROI 1,40,42.285714285714285,94.67018469656992,36.95380774032459,95.69020695540856,C23
SPM,ROI 1,40,100,46.97620794465989,34.015912351636885,100,C24
SPM,ROI 1,40,75.10105092966856,74.89993680219087,28.049516908212563,95.84849710203532,C25
SPM,ROI 1,40,0,99.19704173269942,0,95.38758508584782,C3
SPM,ROI 1,40,23.756906077348063,92.92268748022362,16.125,95.51170858629662,C4
SPM,ROI 1,40,98.77928076542396,64.19402356902357,46.803188994841335,99.39719778429456,C5
SPM,ROI 1,40,99.96712689020382,48.48963267024523,38.32388153749212,99.97829861111111,C6
SPM,ROI 1,40,99.60899315738024,52.57178920795204,40.40444091990483,99.76047904191616,C7
SPM,ROI 1,40,0,96.54627777192798,0,95.60004170576585,C8
SPM,ROI 1,40,100,52.21731820092476,40.31241795746915,100,C9
SCC,ROI 1,80,100,46.72975814931651,35.89776034417309,100,C1
SCC,ROI 1,80,100,46.77402378696979,37.320277640059494,100,C10
SCC,ROI 1,80,100,46.59257706018033,36.51545363908275,100,C11
SCC,ROI 1,80,100,46.818373367045936,39.44337811900192,100,C12
SCC,ROI 1,80,100,47.046368833368625,42.03268049600186,100,C13
SCC,ROI 1,80,100,47.01153073098487,44.176975370556114,100,C14
SCC,ROI 1,80,100,46.86280712854582,36.45649432534678,100,C15
SCC,ROI 1,80,100,46.74450404964763,35.65891472868217,100,C16
SCC,ROI 1,80,100,46.670867464818315,35.98890709693684,100,C18
SCC,ROI 1,80,100,46.79372433400021,35.851212390504,100,C19
SCC,ROI 1,80,100,46.73467241560626,34.552267734849465,100,C2
SCC,ROI 1,80,100,46.754339821146765,38.19003419638495,100,C20
SCC,ROI 1,80,100,46.67576935195883,36.210579218494786,100,C21
SCC,ROI 1,80,100,46.91722972972973,42.668187001140254,100,C22
SCC,ROI 1,80,100,46.9023746701847,40.79086736495234,100,C23
SCC,ROI 1,80,100,46.5779268420501,33.84815055158988,100,C24
SCC,ROI 1,80,100,46.808510638297875,38.24140882964412,100,C25
SCC,ROI 1,80,100,46.95192815636556,42.087658592848904,100,C3
SCC,ROI 1,80,100,46.87269275392891,42.38819627130276,100,C4
SCC,ROI 1,80,100,46.75925925925926,39.09484833895041,100,C5
SCC,ROI 1,80,99.96712689020382,46.76349857909693,37.54784541301395,99.97749774977498,C6
SCC,ROI 1,80,100,46.74450404964763,38.135386119257085,100,C7
SCC,ROI 1,80,99.96759559300064,46.78319469306096,37.90391940041774,99.97749774977498,C8
SCC,ROI 1,80,100,46.700294241277845,37.7133734495886,100,C9
SPM,ROI 1,80,99.96472663139328,51.7875920084122,38.19921822348025,99.97969955339018,C1
SPM,ROI 1,80,95.84208315833683,61.94084833175455,38.69108172261784,98.34558823529412,C10
SPM,ROI 1,80,100,52.75739148668484,39.40290478752017,100,C11
SPM,ROI 1,80,0,97.4504846186262,0,95.5874754572698,C12
SPM,ROI 1,80,0,96.0829980944315,0,95.04660173840192,C13
SPM,ROI 1,80,0,97.1966571458796,0,95.17298529107106,C14
SPM,ROI 1,80,99.3930739021778,54.993145629020354,39.4781622234827,99.67507645259938,C15
SPM,ROI 1,80,97.68881551795296,58.988114021247505,37.77529524417491,99.01129943502823,C16
SPM,ROI 1,80,100,47.97311489182945,36.56037904981432,100,C18
SPM,ROI 1,80,97.95603548013884,58.70274823628514,39.30671618693903,99.05828002842928,C19
